V1	TCGA-44-2662-11A-01D-1551-05	TCGA-44-2656-11A-01D-1551-05	TCGA-44-2659-11A-01D-1551-05	TCGA-50-5936-11A-01D-1626-05	TCGA-44-5645-11A-01D-1626-05	TCGA-05-5420-11A-01D-1626-05	TCGA-50-5939-11A-01D-1626-05	TCGA-50-5935-11A-01D-1756-05	TCGA-50-6593-11A-01D-1756-05	TCGA-38-4632-11A-01D-1756-05	TCGA-44-6145-11A-01D-1756-05	TCGA-44-6146-11A-01D-1756-05	TCGA-50-5933-11A-01D-1756-05	TCGA-50-5932-11A-01D-1756-05	TCGA-73-4676-11A-01D-1756-05	TCGA-49-4488-11A-01D-1756-05	TCGA-73-4658-11A-01D-1756-05	TCGA-44-6147-11A-01D-1756-05	TCGA-38-4631-11A-01D-1756-05	TCGA-50-5931-11A-01D-1756-05	TCGA-49-6745-11A-01D-1856-05
cg12285627	0.716312837377427	0.720096865847269	0.762133410652738	0.71641883555549	0.805606920729629	0.74262550845069	0.718939986534568	0.739401729314572	0.726926294217554	0.685911780555484	0.700318860891042	0.747433330499281	0.703427156456686	0.708925990620816	0.721510666709475	0.732156507570433	0.711467947986535	0.68052546739393	0.723931257535808	0.72396917335176	0.717611985826957
cg05597748	0.529827532177387	0.498620169847862	0.46609209981779	0.580782836667787	0.545136516010646	0.560600858999355	0.524941522318073	0.581470500074493	0.638934934282241	0.559133815969611	0.548715946969398	0.593119917466305	0.538268833888113	0.552971325720768	0.551964104403534	0.636571130510423	0.630756892778432	0.529425956165085	0.555269469874374	0.57044883328314	0.494925078830162
cg13938959	0.535202759300551	0.571220683772331	0.535463641655691	0.549317480130984	0.659942782689856	0.510790103954973	0.644788379932479	0.678922595060062	0.664061558499144	0.579058076275263	0.594017057263591	0.604390854249316	0.541184182177969	0.597915982315992	0.607134244010131	0.633229544719598	0.654025281171286	0.567135088758252	0.68590501797928	0.831404287292053	0.577427505410169
cg08900511	0.726634774440152	0.75879737742463	0.698331688568103	0.701296919702845	0.686980300889184	0.722254476362896	0.771327866924598	0.738433179781186	0.730801347937051	0.758964469506237	0.692154235516527	0.78027021688934	0.710825745635871	0.666265709527934	0.669279721867535	0.803641636933529	0.68772737883295	0.73740310943751	0.707321825147207	0.722832228188125	0.707941305188621
cg23207077	0.180942954539766	0.205097433378851	0.229154147628413	0.208639219665845	0.197372397553762	0.204061645469768	0.194047919900657	0.254115429854807	0.272307750227649	0.224763887244672	0.312526936391811	0.230767456064569	0.278514585721518	0.234595474639924	0.200907473591301	0.292228259455148	0.344003800973061	0.20019229666917	0.302611667628787	0.204341070679338	0.21191143294972
cg22381068	0.28230037196119	0.255962974151003	0.318780123236279	0.346069243090323	0.416448350294433	0.310091111588284	0.294073925299884	0.332295699944239	0.387756388649555	0.342964742794086	0.417130914467847	0.264292905633666	0.371860921360407	0.297435437341572	0.229172284281328	0.400299192946115	0.453381497985164	0.251347594493677	0.310905466154575	0.267271097445279	0.292186076415579
cg22481263	0.323040054717192	0.337089483795621	0.406816817671057	0.314313587619898	0.351964722249321	0.343256711508075	0.325190145176682	0.315521668087597	0.389853036600828	0.375272801747418	0.425893179626524	0.278852668854395	0.697252705814743	0.387937955032726	0.343484460937688	0.419935195769702	0.495950977587489	0.249269557998256	0.422733176240509	0.304473965695407	0.336390898349319
cg07195057	0.756679758510481	0.745605370030541	0.750486785005213	0.764793692178077	0.805700820129634	0.783427370580337	0.823878702730507	0.761779090278344	0.846372351823509	0.749029072020889	0.795597979604812	0.857994829877327	0.742687552009236	0.709676898930603	0.759077758725542	0.791548009780012	0.795641898169467	0.768998817253631	0.828111667057428	0.82622291662686	0.691400121758852
cg20064006	0.841199082371177	0.846759329342837	0.793911792616173	0.860057155163333	0.905901191215054	0.872379647224595	0.895358548374207	0.887868759134368	0.880755599739125	0.85297908885212	0.847849778675896	0.895288881246484	0.841486048108598	0.850423049682878	0.899665331963748	0.865236304945201	0.847850911866801	0.857620714736781	0.792691160926007	0.907076751199636	0.838829316456767
cg16318112	0.541365588610148	0.354910204495852	0.332718784124476	0.233519236955649	0.447534954484852	0.46720361869641	0.531855050033019	0.442599066467392	0.415440713618184	0.135639881347339	0.400305485937191	0.319292844778021	0.279455987784894	0.372857508229739	0.193320051040669	0.387276706121885	0.26688990841735	0.39026973991344	0.374169875913232	0.281619308305293	0.462694387689133
cg09248054	0.522830875431783	0.289848920019468	0.123104669993285	0.188583482081459	0.450119185477939	0.462511757260307	0.465428421784099	0.403658197183197	0.296287705107831	0.0598895598393528	0.260245531603278	0.266870270893558	0.16795748189294	0.299965800532146	0.128269434322456	0.327905471742186	0.132394958725418	0.288687152687194	0.295852521490054	0.200391239945653	0.417730466985255
cg11405655	0.28670523681497	0.307856551702361	0.369069265308268	0.353156319361623	0.42499756410068	0.313169786736056	0.338642335653264	0.360148413750825	0.424373747628068	0.324562093565823	0.324093119135263	0.333989045299368	0.263982170975003	0.333641792291472	0.311124570628549	0.342988458618838	0.340611999687761	0.382380928156006	0.32721519697852	0.408997674925447	0.35650855335112
cg01518906	0.490026729501538	0.511193447908127	0.540210090965928	0.595872379110519	0.623502567646985	0.52045514751629	0.578155354645191	0.690526384050336	0.705073371714383	0.650067664021873	0.627967244641421	0.709721922960014	0.620957985322615	0.64386628481367	0.677118819850169	0.694684549150643	0.675859814335062	0.597885816214209	0.548151912968488	0.729020895810109	0.563817250345126
cg05035248	0.989434669282938	0.987143759987277	0.985979050032286	0.980798446705633	0.985477619096374	0.985771156049268	0.985673433586331	0.982035453941607	0.978059696488954	0.978524207727707	0.975593955404895	0.981143775715462	0.983265495288692	0.981408370410697	0.969695340773889	0.985152415657075	0.98139018139437	0.983527633018025	0.983793497050595	0.98604454294705	0.983328954162284
cg05041517	0.565756278044246	0.600551169000485	0.589239140237666	0.656103145845056	0.676506766890585	0.592851041742486	0.653702923806304	0.721199063777007	0.72566500620911	0.663093413236022	0.692113623490761	0.716451215429397	0.674301468679679	0.695379062738326	0.627825045009987	0.667646617986662	0.711528865650814	0.692957078992603	0.752417437803495	0.766753116036207	0.674262005223345
cg22433276	0.019366831845285	0.0202485730767082	0.0235757544003907	0.0193245254081487	0.0210325078652343	0.0185282536947956	0.0173377029061193	0.0459164183330723	0.0251780285062936	0.0209565148648853	0.0239245893588763	0.0234308816771643	0.024739662678379	0.0271960168756883	0.0202980363691625	0.0245824064174929	0.0245803867698035	0.0300974186186425	0.030532894283776	0.026045782553819	0.0248569713360964
cg04972348	0.496006053928007	0.47329225392207	0.502691084879949	0.367809805787776	0.415115767472982	0.432482721549841	0.39328601467263	0.485399367166756	0.512004778498823	0.472710817009009	0.445195946662854	0.429276931764331	0.40761766697865	0.423190464452984	0.414839503448923	0.492229307305286	0.552017228921889	0.442032750999089	0.460731198532565	0.498600256068606	0.427426514184914
cg18382926	0.85267961355164	0.832025180281962	0.802885094706248	0.813814471535187	0.84975119867839	0.798772669689432	0.844007564234788	0.824440291745802	0.848590725001249	0.840193337885965	0.808429559947202	0.793074328067072	0.76411055619492	0.798846956816177	0.82978902496119	0.857813263927601	0.781098906000683	0.862442374706942	0.865105166147082	0.845428142696254	0.857262945628549
cg14220262	0.823774423967102	0.811549910558127	0.862166928268012	0.806312464687295	0.841427942891631	0.81783633948147	0.818013540031969	0.820600396645187	0.847132160298286	0.83357045146602	0.788823534028549	0.829638753608437	0.810004969237759	0.777819330856404	0.816259571075224	0.739130671671644	0.787324367457408	0.847709775749484	0.778479936212769	0.819114612892822	0.838937364167781
cg02848157	0.921558706636171	0.877672209516645	0.911053405524836	0.913238481106669	0.915795906649205	0.889918522198128	0.924452680716621	0.906924910237009	0.910476301568619	0.879675432402454	0.892646935372854	0.918874675089818	0.856858900857594	0.866868641521132	0.9056714151202	0.896114357767016	0.879292041874685	0.903121875182466	0.881173798604814	0.905350888569293	0.898463418877632
cg24884961	0.910857346924032	0.913300830271413	0.888466502103136	0.877500917657915	0.895816364874697	0.886016073608941	0.880792413146659	0.854900075927311	0.848175157914497	0.849915147938385	0.881315631282001	0.885023564083259	0.870963754446062	0.853931476182145	0.862841313371196	0.860730252221667	0.857229061950242	0.890528722366542	0.903432277351551	0.892199615917112	0.890013798604594
cg16266669	0.493723285468067	0.518077366651724	0.550719278399509	0.482321333269448	0.551655598845394	0.510675255671263	0.498867257009883	0.491875241395628	0.427408487402527	0.493912128506345	0.472754159194389	0.471479777158596	0.542071244238286	0.521167125207996	0.50823872012855	0.45961919434833	0.451803548305211	0.488090535586612	0.530305899773178	0.530285978215973	0.542692272345614
cg15924570	0.558702408363204	0.530679239667344	0.610735632392099	0.52258220441293	0.662615203378578	0.607895165773267	0.558425486976263	0.621936827875237	0.60006094836916	0.530140299728913	0.543337245736326	0.633852062392811	0.590920891056979	0.582168076427779	0.960006639452402	0.618384749305736	0.508510713523042	0.561796148262519	0.622814558154524	0.671028958013219	0.604967999849321
cg13440692	0.794446334505004	0.807478563916456	0.760700753269091	0.742692216240692	0.754550365832704	0.690299936465758	0.760613362980176	0.6924897895695	0.713228285744534	0.69796339148178	0.724684034545386	0.686813316633021	0.701448951193918	0.717209078753346	0.737223728362501	0.683289382575544	0.632261190857801	0.755394787668255	0.719620245977492	0.7684420638596	0.69363810578092
cg13689260	0.90593494688981	0.871492541080255	0.892010842916027	0.860671134963143	0.852503187248616	0.840402473178712	0.907567100523816	0.90666742639569	0.90325061997982	0.879444167703119	0.912520312340988	0.907690897137448	0.909338366090003	0.9133141732103	0.875275618623714	0.900673261091784	0.904617127282517	0.889785799589228	0.906004533970199	0.934619025989993	0.888507241606746
