CpG	TCGA-67-6217-01A-11D-1756-05	TCGA-50-5942-01A-21D-1756-05	TCGA-67-6215-01A-11D-1756-05	TCGA-38-6178-01A-11D-1756-05	TCGA-73-4676-01A-01D-1756-05	TCGA-49-4488-01A-01D-1756-05	TCGA-75-6207-01A-11D-1756-05	TCGA-50-5933-01A-11D-1756-05	TCGA-73-4658-01A-01D-1756-05	TCGA-50-5941-01A-11D-1756-05	TCGA-50-5931-01A-11D-1756-05	TCGA-75-5122-01A-01D-1756-05	TCGA-67-6216-01A-11D-1756-05	TCGA-75-6212-01A-11D-1756-05	TCGA-75-7031-01A-11D-1947-05	TCGA-55-6981-01A-11D-1947-05	TCGA-91-6828-01A-11D-1856-05	TCGA-50-6595-01A-12D-1856-05	TCGA-44-6779-01A-11D-1856-05	TCGA-49-4487-01A-21D-1856-05	TCGA-55-6712-01A-11D-1856-05	TCGA-50-5936-01A-11D-1626-05	TCGA-44-6146-01A-11D-1756-05	TCGA-55-6983-01A-11D-1947-05	TCGA-05-5715-01A-01D-1626-05	TCGA-49-6744-01A-11D-1856-05	TCGA-64-5774-01A-01D-1626-05	TCGA-05-4390-01A-02D-1756-05	TCGA-05-4425-01A-01D-1756-05	TCGA-38-4632-01A-01D-1756-05	TCGA-38-4631-01A-01D-1756-05	TCGA-05-4433-01A-22D-1856-05	TCGA-50-5044-01A-21D-1856-05	TCGA-05-4410-01A-21D-1856-05	TCGA-05-4415-01A-22D-1856-05	TCGA-50-5944-01A-11D-1756-05	TCGA-75-5126-01A-01D-1756-05	TCGA-80-5608-01A-31D-1947-05	TCGA-71-6725-01A-11D-1856-05	TCGA-55-6543-01A-11D-1756-05
cg12285627	0.565124546202998	0.668169325317021	0.600945907426734	0.622126959567663	0.634781061389062	0.593427442463556	0.651562172494827	0.599876386225842	0.692693613367787	0.614580786131424	0.572179221345393	0.685155415288043	0.710666503399376	0.757759360620094	0.622630367159998	0.682016862563203	0.574921222744149	0.613324175985141	0.562740203491227	0.658710280120319	0.575087243137673	0.612005169968612	0.679347066607488	0.671274617827892	0.737371968735942	0.601684461048817	0.54386599961083	0.564156390874848	0.762260734790411	0.598823884862011	0.54571883039578	0.691044276417281	0.586045018677116	0.58048957795184	0.570181570192462	0.660016755945121	0.651559469421926	0.574689567231999	0.467552311657048	0.717350124626797
cg05597748	0.539402686204268	0.769157349455013	0.455201457119816	0.462611161083953	0.702613494504152	0.722478006136305	0.762680043703354	0.693732627585596	0.66878283517336	0.712171442335803	0.648286661372436	0.718789604476715	0.808110852364896	0.568163039817066	0.495131376697772	0.662306009360549	0.436247477470883	0.787458862799364	0.808327965700711	0.723989493022943	0.568224638952236	0.671570696623306	0.524109764822129	0.602713075238751	0.767882917842494	0.710614190432076	0.30506651371584	0.355932961072177	0.562255271883524	0.696285079029772	0.76632772952883	0.547716082671366	0.713083155340857	0.625383545489884	0.733186631652006	0.48822666359883	0.740429813155368	0.482908384813419	0.59663060946565	0.606401669269565
cg13938959	0.395752710301849	0.487711780081412	0.336284649250476	0.37186202171679	0.742400606635713	0.379518422512975	0.781723107780535	0.491198202044479	0.628826276126333	0.465541069056412	0.512365357249442	0.556443563965296	0.559884746530278	0.386820218331701	0.418816830303276	0.514056065035475	0.399168962726544	0.654399718129722	0.386595516868257	0.724152261255403	0.484183545577573	0.665260250318193	0.62445459591532	0.496369770093137	0.351561492788824	0.484903587311602	0.275545756344152	0.323391879052033	0.542785966926056	0.392834516859928	0.775359215187655	0.359861845635118	0.676542167343882	0.442324950178312	0.738699869894909	0.462672814788678	0.538259402861612	0.407758153212456	0.329074480277508	0.619723978854102
cg08900511	0.490140248686281	0.809741679322972	0.70412207240107	0.58834757292815	0.78596674966342	0.787908557753197	0.798936662570652	0.787653180544476	0.794988406562277	0.562183321460255	0.442278836793621	0.800509201358034	0.774304494836768	0.814520347541395	0.507365023037117	0.647922130139817	0.550269583696403	0.777801222380281	0.783200982589187	0.711928703824183	0.711269772185686	0.512723890452766	0.399009983513314	0.593746576851489	0.619348880156598	0.581918191389616	0.382822622554726	0.416075181775298	0.46678737124214	0.818192008873261	0.494285115177366	0.548771264332076	0.74989930156953	0.600692596772714	0.508790846121653	0.589825239816914	0.821724917671018	0.550440199773043	0.401047610537828	0.809735602842322
cg23207077	0.526417093509243	0.628304170489973	0.642515654164748	0.543416720277833	0.560424057629667	0.601655954592849	0.644264443975622	0.454978111439736	0.491696951362714	0.42100710104061	0.171427961072357	0.466672609897567	0.461139204750398	0.551739237034717	0.236673150366609	0.501347297667363	0.522743982901408	0.387240793752589	0.640270508926039	0.295922411939235	0.574386886880008	0.448607364979774	0.590477080212114	0.465475773318907	0.615585343967685	0.538852307805292	0.114316004926143	0.39865295941865	0.556699420422715	0.585058384243105	0.20615222187254	0.522999764029549	0.445624899619143	0.544152722249999	0.64373768920872	0.346265081755612	0.327138546661906	0.460680820005451	0.542809618850431	0.63680907414545
cg22381068	0.593264312093335	0.652501396820567	0.780777492600337	0.658623231245898	0.721165374717341	0.76438909095963	0.784659131768757	0.636606664810771	0.656662337751484	0.555204550673584	0.20577610893928	0.564827471486043	0.480551981324581	0.578794687759144	0.350303082198302	0.679620580877586	0.663053715002036	0.564862811934359	0.738092137019922	0.339891184921222	0.695281897066202	0.623982477324964	0.765844795799399	0.594394825370467	0.742497260394788	0.629532330624082	0.159459204663808	0.44849715891883	0.690797355704299	0.803821826749223	0.239042105948175	0.726366581355495	0.500020421044585	0.656055192335413	0.760274571802985	0.273235913581183	0.360796635347158	0.681954463025431	0.689889578950696	0.615645380908751
cg22481263	0.640273531823854	0.605737962502453	0.657837492013912	0.567130655135782	0.583642273793763	0.604756141795114	0.613246702643809	0.530703046602519	0.55662767910368	0.515239422410839	0.153380468439759	0.556915114559012	0.576580516062232	0.60197135902872	0.281016056504274	0.549726473409179	0.632639109798343	0.52813056072745	0.630576360746199	0.422885641542381	0.583266922104919	0.537746443052088	0.590456804335301	0.528374501010696	0.636365601507277	0.57737912820395	0.192846846742051	0.507854373965884	0.60029593137021	0.612952769512163	0.355067519851295	0.602967724746201	0.536994884816133	0.590823484363027	0.652639463718333	0.583755416417199	0.517304425023778	0.555268835605316	0.65582667902207	0.654992741445253
cg07195057	0.849984018436298	0.826096195686672	0.898518002278885	0.901552316623313	0.899459614708627	0.861901551143087	0.911555358033074	0.900761614776131	0.88646446540499	0.808031471671947	0.521812155098329	0.850671588908143	0.747141121286133	0.893294341086568	0.578888764866872	0.884460615581446	0.884316839114566	0.87135689644593	0.936714843716264	0.753877986598586	0.893225627764804	0.867139974053391	0.893239851918737	0.881940620369312	0.911748750555916	0.879715214629739	0.393073854731213	0.681614462770881	0.843001067122075	0.918166513416214	0.488960422303431	0.795897982302347	0.83573248923374	0.835241069684493	0.858329318931501	0.83152510765971	0.825519928501172	0.798557091590258	0.83825858383591	0.890321798143875
cg20064006	0.796658352289917	0.875566958556645	0.849129633089575	0.849188158132578	0.878456334646033	0.837260580298019	0.885844158511233	0.781200516909256	0.880000552931102	0.863463489165191	0.538474097529185	0.844981439092893	0.857225049368047	0.844634158009422	0.848534294390081	0.874592518032062	0.742248392248081	0.866696508442003	0.71689887681307	0.804795700782729	0.820054217483791	0.58384740806901	0.772630546480328	0.862236947786145	0.869905948365565	0.665896403637479	0.884087247000597	0.521451157505527	0.812198204967696	0.873819659096697	0.491636473085998	0.444375514577726	0.819425285493989	0.783634028814915	0.84902487843285	0.860948421498771	0.735253187069148	0.737266777967412	0.777143469129206	0.874270480629224
cg16318112	0.677540487379348	0.714179664224768	0.735106977617231	0.66599243176238	0.666938731658808	0.687056575352175	0.709746634019307	0.505272808826555	0.524917023323182	0.531576613501165	0.0272635905911766	0.434360468131618	0.655619585944295	0.623397226973423	0.738781725958427	0.695813776391502	0.67222272462852	0.409502499057026	0.664475311966267	0.501615288112244	0.684531314713344	0.576921587497225	0.487037144405718	0.622220445790108	0.709965466812147	0.589503665751818	0.786614568677208	0.754024715323882	0.633286252566486	0.664590935631352	0.0577191394953604	0.644425457526122	0.595429952282105	0.654317126096242	0.777585229750457	0.776574101234112	0.505908451561095	0.675666856401882	0.745959494183295	0.722074692549975
